"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,Sales,"Year ( Order Date )","Month ( Order date )","Month number"
71,CA-2017-106075,"Monday, September 18, 2017","Saturday, September 23, 2017","Standard Class",HM-14980,"Henry MacAllister",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004654,"Office Supplies",Binders,4.616,2017,September,9
390,CA-2018-101798,"Tuesday, December 11, 2018","Saturday, December 15, 2018","Standard Class",MV-18190,"Mike Vittorini",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10000050,"Office Supplies",Binders,23.36,2018,December,12
538,CA-2016-147851,"Saturday, December 3, 2016","Thursday, December 8, 2016","Standard Class",MP-17470,"Mark Packer","Home Office","United States","New York City","New York",10009,East,OFF-BI-10004528,"Office Supplies",Binders,10.752,2016,December,12
573,CA-2018-164826,"Friday, December 28, 2018","Friday, January 4, 2019","Standard Class",JF-15415,"Jennifer Ferguson",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10001922,"Office Supplies",Binders,33.264,2018,December,12
681,CA-2017-164511,"Sunday, November 19, 2017","Friday, November 24, 2017","Standard Class",DJ-13630,"Doug Jacobs",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10003305,"Office Supplies",Binders,14.352,2017,November,11
759,CA-2018-117240,"Monday, July 23, 2018","Saturday, July 28, 2018","Standard Class",CP-12340,"Christine Phan",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10000848,"Office Supplies",Binders,13.128,2018,July,7
874,CA-2015-148488,"Thursday, December 10, 2015","Tuesday, December 15, 2015","Standard Class",SM-20005,"Sally Matthias",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10000315,"Office Supplies",Binders,106.344,2015,December,12
909,CA-2018-143259,"Sunday, December 30, 2018","Thursday, January 3, 2019","Standard Class",PO-18865,"Patrick O'Donnell",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10003684,"Office Supplies",Binders,52.776,2018,December,12
925,CA-2017-149797,"Friday, September 15, 2017","Wednesday, September 20, 2017","Standard Class",AH-10075,"Adam Hart",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10003650,"Office Supplies",Binders,841.568,2017,September,9
1056,CA-2016-110667,"Monday, April 4, 2016","Friday, April 8, 2016","Standard Class",NF-18595,"Nicole Fjeld","Home Office","United States","New York City","New York",10009,East,OFF-BI-10002735,"Office Supplies",Binders,82.344,2016,April,4
1057,CA-2016-110667,"Monday, April 4, 2016","Friday, April 8, 2016","Standard Class",NF-18595,"Nicole Fjeld","Home Office","United States","New York City","New York",10009,East,OFF-BI-10003529,"Office Supplies",Binders,9.088,2016,April,4
1073,CA-2018-106943,"Wednesday, November 14, 2018","Monday, November 19, 2018","Standard Class",FO-14305,"Frank Olsen",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10003669,"Office Supplies",Binders,8.64,2018,November,11
1164,CA-2015-127964,"Tuesday, March 3, 2015","Sunday, March 8, 2015","Standard Class",AP-10720,"Anne Pryor","Home Office","United States","New York City","New York",10035,East,OFF-BI-10004593,"Office Supplies",Binders,125.76,2015,March,3
